RES_ID,RESPONSE,LABEL
TRA1,"tidak , karena kemerdekaan indonesia bukanlah pemberian dari jepang melainka n perjuangan rakyat indonesia itu sendiri dalam memperthankan kedudukannya dan hak",0
TRA2,Menyerahnya Jepang terhadap Amerika Serikat membuat status Indonesia berada dalam status quo (bukan hanya Indonesia melainkan negara yang berada dibawah penjajahan Jepang). Pada saat itu golongan tua tidak mau memproklamasikan kemerdekaan tetapi golongan muda memaksa golongan tua untuk memproklamasikan kemerdekaan. Akhirnya Soekarno memproklamasikan kemerdekaan Indonesia.,0
TRA3,Dari hubungan kedua gambar tersebut adalah Indonesia membuat proklamasi untuk kemerdekaan Indonesia. Kemerdekaan Indonesia bukan dari pemberian Jepang. Tetapi pemberian Indonesia yang ingin merdeka.,0
TRA4,Jepang menyerah kepada Indonesia ada alasan lain dimana bom atom menghancurkan kota hiroshima dan nagasaki yang membuat mereka harus kembali ke wilayah mereka. Kemerdekan indonesia merupakan pemberian jepang karena rakyat indonesia sendiri yang menentukan nasib bangsa ini maka indonesia merdeka dengan semangat pesatuan rakyat indonesia,1
TRA5,"Menyerahnya Jepang kepada Amerika pada PD II adalah terjadinya kekosongan kekuasaan di Indonesia. Artinya, tidak ada pemerintahan yang berkuasa di Indonesia. Golongan Muda yang mendengar berita kekalahan Jepang dari radio LN merasa situasi tersebut merupakan kesempatan baik bagi bangsa Indonesia untuk memproklamasikan kemerdekaan. Golongan muda memaksa golongan tua untuk segera memproklamasikan kemerdekaan Indonesia. Setelah dilakukan perundingan yang alot maka akhirnya pada tanggal 17 Agustus 1945, Ir. Soekarno dan Moh. Hatta memproklamasikan kemerdekaan Indonesia.",1
TRA6,Jepang menyerah kepada sekutu dengan perjanjian bahwa jajahan jepang menjadi daerah status quo. Sutan syahrir yang mendengarkan kekalahan jepang lewat radio sebelum sinyal berita radio diputuskan oleh sekutu agar berita tersebut tidak menyebar luas langsung mendesak golongan tua untuk memerdekan diri sebelum sekutu kembali mengambil daerah jajahannya. Indonesia merebut kemerdekaannya dengan perjuangannya setelah proklamasi lewat diplomasi dan perang bukan sekedar hadiah dari Jepang.,1
TRA7,"Tidak ,karena kemerdekaan indonesia bukanlah pemberian dari jepang melainkan perjuangan rakyat Indoesia itu sendiri dalam mempertahankan kedudukannya dan hak .",0
TRA8,indonesia meredeka bukan karna jepang melainkan karna perjuangan sendiri karna negara jepang terlibat perang dunia II dan mengalami kekalahan .,0
TRA9,"Tidak ,karena kemerdekaan indonesia bukanlah pemberian dari jepang melainkan perjuangan rakyat Indoesia itu sendiri dalam mempertahankan kedudukannya",0
TRA10,"Ya, Jepang adalah penjajah yang pernah menjanjikan sebuah kemerdekaan kepada bangsa Indonesia karena itu pada gambar di atas merupakan proses penandatanganan dan proklamasi yang terjadi untuk dapat mencapai kesepakatan kemerdekaan Indonesia.",1
